add device 1: /dev/input/event5
  name:     "Xiaomi Joystick"
add device 2: /dev/input/event4
  name:     "Xiaomi Input"
add device 3: /dev/input/event3
  name:     "Xiaomi mouse integration"
add device 4: /dev/input/event1
  name:     "Sleep Button"
add device 5: /dev/input/event2
  name:     "Video Bus"
add device 6: /dev/input/event0
  name:     "Power Button"
/dev/input/event4: EV_KEY       BTN_TOUCH            UP                  
/dev/input/event4: EV_SYN       SYN_REPORT           ffffffff            
/dev/input/event4: EV_KEY       BTN_TOUCH            UP                  
/dev/input/event4: EV_SYN       SYN_REPORT           ffffffff            
/dev/input/event4: EV_KEY       BTN_TOUCH            UP                  
/dev/input/event4: EV_SYN       SYN_REPORT           ffffffff            
/dev/input/event4: EV_KEY       BTN_TOUCH            UP                  
/dev/input/event4: EV_SYN       SYN_REPORT           ffffffff            
/dev/input/event4: EV_KEY       BTN_TOUCH            UP                  
/dev/input/event4: EV_SYN       SYN_REPORT           ffffffff            
/dev/input/event4: EV_KEY       BTN_TOUCH            UP                  
/dev/input/event4: EV_SYN       SYN_REPORT           ffffffff            
/dev/input/event4: EV_KEY       BTN_TOUCH            UP                  
/dev/input/event4: EV_SYN       SYN_REPORT           ffffffff            
/dev/input/event4: EV_KEY       BTN_TOUCH            UP                  
/dev/input/event4: EV_SYN       SYN_REPORT           ffffffff            
/dev/input/event4: EV_KEY       BTN_TOUCH            UP                  
/dev/input/event4: EV_SYN       SYN_REPORT           ffffffff            
/dev/input/event4: EV_KEY       BTN_TOUCH            UP                  
/dev/input/event4: EV_SYN       SYN_REPORT           ffffffff            
/dev/input/event4: EV_KEY       BTN_TOUCH            UP                  
/dev/input/event4: EV_SYN       SYN_REPORT           ffffffff            
/dev/input/event4: EV_KEY       BTN_TOUCH            UP                  
/dev/input/event4: EV_SYN       SYN_REPORT           ffffffff            
/dev/input/event4: EV_KEY       BTN_TOUCH            UP                  
/dev/input/event4: EV_SYN       SYN_REPORT           ffffffff            
/dev/input/event4: EV_KEY       BTN_TOUCH            UP                  
/dev/input/event4: EV_SYN       SYN_REPORT           ffffffff            
/dev/input/event4: EV_KEY       BTN_TOUCH            UP                  
/dev/input/event4: EV_SYN       SYN_REPORT           ffffffff            
/dev/input/event4: EV_KEY       BTN_TOUCH            UP                  
/dev/input/event4: EV_SYN       SYN_REPORT           ffffffff            
/dev/input/event4: EV_KEY       BTN_TOUCH            UP                  
/dev/input/event4: EV_SYN       SYN_REPORT           ffffffff            
/dev/input/event4: EV_KEY       BTN_TOUCH            UP                  
/dev/input/event4: EV_SYN       SYN_REPORT           ffffffff            
/dev/input/event4: EV_KEY       BTN_TOUCH            UP                  
/dev/input/event4: EV_SYN       SYN_REPORT           ffffffff            
/dev/input/event4: EV_KEY       BTN_TOUCH            UP                  
/dev/input/event4: EV_SYN       SYN_REPORT           ffffffff            
/dev/input/event4: EV_KEY       BTN_TOUCH            UP                  
/dev/input/event4: EV_SYN       SYN_REPORT           ffffffff            
/dev/input/event4: EV_ABS       ABS_MT_TRACKING_ID   00000001            
/dev/input/event4: EV_KEY       BTN_TOUCH            DOWN                
/dev/input/event4: EV_ABS       ABS_MT_POSITION_X    0000020f            
/dev/input/event4: EV_ABS       ABS_MT_POSITION_Y    00000541            
/dev/input/event4: EV_SYN       SYN_REPORT           ffffffff            
/dev/input/event4: EV_ABS       ABS_MT_TRACKING_ID   0000c350            
/dev/input/event4: EV_KEY       BTN_TOUCH            UP                  
/dev/input/event4: EV_SYN       SYN_REPORT           ffffffff            
/dev/input/event4: EV_ABS       ABS_MT_SLOT          0000000b            
/dev/input/event4: EV_ABS       ABS_MT_TRACKING_ID   0000000b            
/dev/input/event4: EV_KEY       BTN_TOUCH            DOWN                
/dev/input/event4: EV_ABS       ABS_MT_POSITION_X    000002ed            
/dev/input/event4: EV_ABS       ABS_MT_POSITION_Y    000001ff            
/dev/input/event4: EV_SYN       SYN_REPORT           ffffffff            
/dev/input/event4: EV_ABS       ABS_MT_TRACKING_ID   0000c350            
/dev/input/event4: EV_KEY       BTN_TOUCH            UP                  
/dev/input/event4: EV_SYN       SYN_REPORT           ffffffff            
/dev/input/event4: EV_ABS       ABS_MT_TRACKING_ID   0000000b            
/dev/input/event4: EV_KEY       BTN_TOUCH            DOWN                
/dev/input/event4: EV_ABS       ABS_MT_POSITION_X    000002ee            
